,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
8550,4475.0,6.6638,4.9079,2.3704,6.9524,0.1861,0.2276,0.6725,0.1,13.1152,0.0654,7.136,8.2342,2747.9683,1636.5507,1.0424,-0.8141,9.677,1.0358,1.0,0.8114,8445.0,420.0,4369.272,57.2701,0.0704,451731.4688,262.7864,256.9453
8551,4475.5,6.7792,4.8374,2.4286,7.1524,0.1781,0.2577,0.689,0.1,13.9107,0.0644,8.1519,8.2374,2747.7832,1636.4482,1.0398,-0.8175,9.5736,1.0374,1.0,0.7905,9260.0,453.3333,4373.6978,57.5069,0.0721,451702.8438,263.7959,254.6567
8552,4476.0,7.7791,5.7789,3.1279,8.4166,0.1995,0.2937,0.8874,0.1,14.4024,0.063,8.4625,8.2357,2747.5981,1636.3458,1.0375,-0.8225,9.5456,1.0388,1.0,0.831,8880.0,460.0,4311.8691,57.3351,0.0709,451674.0938,261.69,253.7391
8553,4476.5,8.2541,6.3943,3.7199,9.1003,0.2056,0.3013,1.0553,0.1,14.4233,0.0608,6.9097,8.2382,2747.4131,1636.2434,1.0369,-0.8271,8.591,1.0392,1.0,0.8101,8546.667,453.3333,4233.1191,57.0872,0.069,451645.4375,259.2041,254.3226
8554,4477.0,8.3169,7.2053,4.7461,9.6956,0.1992,0.2773,1.3464,0.1,13.2101,0.0588,6.2857,8.237,2747.228,1636.1409,1.0324,-0.8319,6.5266,1.042,1.0,0.7941,8906.667,420.0,4244.561,161.1858,0.8267,451602.625,257.4439,254.8047
8555,4477.5,7.5724,7.0175,4.7375,8.9105,0.1873,0.2108,1.344,0.1,10.9987,0.056,7.5456,8.2344,2747.043,1636.0382,1.0202,-0.8376,5.0271,1.0495,1.0,0.8296,8793.333,440.0,4326.4165,161.1858,0.8267,451602.625,257.4439,254.8047
8556,4478.0,6.5709,6.1335,4.0695,7.6572,0.1678,0.1696,1.1545,0.1,10.1702,0.0573,8.4432,8.2396,2746.8579,1635.9358,1.0068,-0.8441,4.5584,1.0579,1.0,0.8567,8973.333,413.3333,4273.7656,162.6851,0.8376,451441.4375,256.4737,254.5986
8557,4478.5,6.1836,5.57,3.4744,7.1228,0.1654,0.1729,0.9857,0.1,10.627,0.0564,7.2942,8.2411,2746.6729,1635.8333,1.0028,-0.8462,4.3929,1.0604,1.0,0.8394,8993.333,453.3333,4251.2964,164.4418,0.8504,451360.0938,257.1176,255.0182
8558,4479.0,6.2585,5.3106,3.137,7.1618,0.1679,0.2061,0.8899,0.1,10.6468,0.0543,6.1984,8.2434,2746.4878,1635.7305,1.0142,-0.8457,4.383,1.0533,1.0,0.8357,8873.333,373.3333,4279.7393,164.7605,0.8527,451277.875,258.6575,256.6332
8559,4479.5,6.8081,5.556,3.2241,7.7985,0.1791,0.2497,0.9146,0.1,10.4731,0.0489,7.1611,8.2561,2746.3022,1635.6277,1.0424,-0.8754,4.3976,1.0358,1.0,0.7804,8760.0,445.0,4362.6255,163.9046,0.8465,451195.5,259.5715,258.5174
8560,4480.0,7.7144,6.0853,3.4646,8.8588,0.2,0.3088,0.9829,0.1,10.0704,0.0445,7.8828,8.3428,2746.1143,1635.5223,1.0643,-0.9762,4.3405,1.0222,1.0,0.7899,8926.667,350.0,4261.4492,162.0348,0.8329,451113.5625,259.6866,259.9674
8561,4480.5,8.0207,6.1376,3.4523,9.2641,0.2042,0.3481,0.9794,0.1,9.6828,40000.0,8.566,8.3483,2745.9243,1635.4149,1.0622,-1.0211,3.8751,1.0235,1.0,0.8504,8525.0,380.0,4185.4336,181.5758,0.9751,451032.5313,259.6245,260.5793
8649,4524.5,10.5027,5.7967,2.1284,11.0174,0.2591,0.5812,0.6038,13.6353,69.2576,40000.0,10.8507,10.8868,2662.5303,1559.2834,2.8301,0.0305,5.1175,-0.0746,0.0198,0.0472,13295.0,2746.6667,4311.1294,50.6705,0.0223,444641.0313,59.6033,76.5377
8652,4526.0,12.1101,6.3416,2.2169,12.5771,0.29,0.6942,0.6289,5.1015,128.3424,40000.0,9.9324,10.8728,2661.5596,1558.5603,2.7903,0.0617,5.0502,-0.0499,0.025,0.0475,12666.667,2673.3333,4299.9453,52.0514,0.0324,444479.0625,71.5423,86.5215
8653,4526.5,12.3191,6.5299,2.2693,12.6684,0.2994,0.6834,0.6438,7.4602,350.7876,40000.0,10.9225,10.8009,2661.2378,1558.3209,2.8218,0.0233,5.0874,-0.0695,0.0198,0.0457,12380.0,2960.0,4422.751,53.0463,0.0396,444401.1563,78.6972,91.881
8654,4527.0,15.3111,8.3202,2.8416,15.6154,0.3844,0.8122,0.8061,5.9307,2990.0112,40000.0,17.3479,10.8394,2660.9197,1558.0854,2.8241,0.0157,4.8924,-0.0708,0.0348,0.0691,12473.333,2226.6667,4399.5742,58.0386,0.076,444374.625,114.4843,89.3918
8655,4527.5,20.339,11.1899,3.759,20.663,0.5207,1.0547,1.0664,2.5407,281.1797,40000.0,24.1326,10.9167,2660.5969,1557.8451,2.7689,0.029,4.2542,-0.0366,0.0681,0.1106,13660.0,1613.3334,4375.2329,62.2024,0.1063,444345.5938,115.696,116.7903
8656,4528.0,27.0405,14.9643,5.0789,27.4147,0.6932,1.3861,1.4408,2.4553,175.3814,40000.0,27.2692,11.02,2660.2717,1557.6027,2.7011,0.0531,3.2846,0.0055,0.0798,0.1118,11960.0,1813.3334,4383.5483,63.5221,0.1159,444298.9375,116.3036,116.6982
8657,4528.5,33.0223,18.1957,6.2679,33.3738,0.8375,1.6898,1.7781,6.5441,114.9237,1103.9637,32.5411,10.9832,2659.9399,1557.3533,2.6615,0.0704,2.7143,0.0301,0.0825,0.1044,12155.0,1773.3334,4434.585,63.5221,0.1159,444298.9375,116.3036,116.6982
8658,4529.0,38.4909,20.9509,7.3468,39.0345,0.9568,2.0133,2.0842,11.6192,67.7753,151.7391,39.8021,10.9102,2659.614,1557.1097,2.6355,0.0651,2.8434,0.0463,0.0916,0.111,12306.667,1820.0,4336.6929,64.5843,0.1236,444235.4063,116.4822,115.3744
8659,4529.5,45.0087,24.7165,9.0928,45.6697,1.1038,2.3328,2.5795,6.0053,65.0418,189.1318,44.2045,10.931,2659.2913,1556.8694,2.582,0.058,3.1147,0.0795,0.0989,0.1042,11993.333,2033.3334,4273.2954,65.4755,0.1301,444203.125,116.5782,114.5228
8660,4530.0,47.2134,26.3977,9.9946,47.7819,1.1623,2.3808,2.8354,3.5445,65.8436,188.2033,43.0392,11.2599,2658.959,1556.6196,2.5178,0.0689,3.17,0.1194,0.1161,0.1068,11846.667,1620.0,4413.3257,66.2043,0.1354,444170.375,117.2062,115.5835
8661,4530.5,45.8949,26.1997,10.1763,46.1017,1.1386,2.2158,2.8869,2.693,74.2368,239.2247,40.313,11.4125,2658.6118,1556.355,2.4797,0.0923,3.1897,0.1431,0.12,0.0962,11220.0,1770.0,4440.3457,66.7281,0.1392,444137.2813,118.0818,117.7619
8662,4531.0,42.4953,24.752,9.7294,42.3043,1.0689,1.9542,2.7601,2.5863,68.3743,222.8534,41.7778,11.5694,2658.2559,1556.0814,2.4433,0.1129,3.2721,0.1656,0.1303,0.0959,10426.667,1586.6666,4371.3784,66.8814,0.1403,444103.9063,117.9726,118.8374
8663,4531.5,39.7438,23.3102,9.0917,39.2779,1.0108,1.7777,2.5792,2.9069,80.2155,336.8239,41.7615,12.3011,2657.8699,1555.7782,2.3986,0.109,3.2359,0.1934,0.1365,0.0828,10000.0,1760.0,4387.7632,66.6112,0.1384,444070.4688,116.4362,118.8374
8664,4532.0,39.6006,23.6273,9.2123,39.0045,1.0247,1.712,2.6134,3.621,83.5639,352.592,36.9332,12.96,2657.4421,1555.433,2.3719,0.088,3.0873,0.21,0.1445,0.0812,10313.333,1853.3334,4419.2651,65.882,0.1331,444037.1563,114.2615,116.4967
8665,4532.5,39.9429,24.2978,9.4949,39.3069,1.0526,1.671,2.6936,6.312,136.9157,40000.0,34.1567,13.0085,2656.9834,1555.0566,2.3584,0.0704,3.0718,0.2184,0.1542,0.0898,11413.333,1593.3334,4381.5205,64.6089,0.1238,444004.2188,111.8381,116.4967
8666,4533.0,40.7332,25.2971,9.8452,39.8838,1.0982,1.624,2.793,6.588,224.1709,40000.0,35.2067,13.1532,2656.5188,1554.6744,2.3611,0.0582,3.2332,0.2167,0.1529,0.0892,10850.0,1720.0,4317.8765,61.8686,0.1038,443971.9063,108.7408,111.5542
8667,4533.5,41.0268,25.9285,10.0183,39.9313,1.1299,1.559,2.8421,7.6541,186.4329,40000.0,34.3083,13.1413,2656.0461,1554.2841,2.3884,0.053,3.3773,0.1998,0.146,0.0932,10760.0,1586.6666,4319.2437,58.8425,0.0818,443940.9688,105.7651,108.3363
8668,4534.0,41.2388,26.8939,10.5405,40.1875,1.1632,1.48,2.9902,6.9094,144.5406,40000.0,32.2587,12.9703,2655.5811,1553.9016,2.4088,0.0554,3.3681,0.1871,0.1404,0.0949,11180.0,1655.0,4346.4434,58.8425,0.0818,443940.9688,105.7651,108.3363
8669,4534.5,40.8591,27.5866,11.0142,39.7392,1.1814,1.353,3.1246,7.4883,111.6905,40000.0,33.6539,13.1377,2655.1211,1553.5243,2.4074,0.0631,3.1997,0.1879,0.1493,0.1093,11133.333,1566.6666,4378.606,57.6873,0.0734,443896.8438,104.3853,106.3457
8670,4535.0,37.6867,26.4511,10.822,36.5625,1.1175,1.1257,3.0701,6.3648,108.6406,40000.0,34.2455,12.1593,2654.6597,1553.1453,2.4252,0.0826,3.0584,0.1769,0.1483,0.1171,12006.667,1293.3334,4342.8569,57.967,0.0755,443868.0,104.7323,105.933
8671,4535.5,35.8068,25.7444,10.6041,34.8184,1.0834,1.0102,3.0083,4.248,114.4335,40000.0,33.0402,11.6448,2654.2725,1552.8407,2.4709,0.1133,3.1197,0.1485,0.1309,0.1104,11840.0,1626.6666,4379.7051,59.8833,0.0894,443839.0313,107.0789,107.447
8672,4536.0,33.37,24.3898,10.0964,32.4539,1.0235,0.8978,2.8642,1.8599,125.1547,40000.0,30.774,11.873,2653.8965,1552.5471,2.5168,0.1478,3.2262,0.12,0.1472,0.1594,11726.667,1060.0,4383.8735,63.8068,0.118,443809.0938,110.9876,110.7389
8673,4536.5,32.7745,24.2659,10.2931,31.954,1.0038,0.8559,2.92,0.8181,144.2054,40000.0,27.2174,11.8999,2653.5117,1552.2448,2.5226,0.1781,3.185,0.1164,0.1826,0.2269,11586.667,940.0,4272.9595,65.9769,0.1337,443777.1875,113.1833,112.9896
8674,4537.0,32.9239,24.61,10.5532,31.9586,1.0113,0.8181,2.9938,0.3454,194.2021,40000.0,26.3316,12.3943,2653.1265,1551.9421,2.4573,0.1888,3.0369,0.1569,0.1846,0.1992,9200.0,966.6667,4268.9922,66.6801,0.1389,443744.1875,113.6439,113.7557
8676,4538.0,37.1542,27.5546,12.0142,35.591,1.1207,0.8947,3.4083,0.9715,208.6891,40000.0,30.9278,13.3535,2652.2537,1551.2344,2.3646,0.2143,2.8748,0.2145,0.1935,0.1641,9900.0,973.3333,4333.4316,67.5188,0.145,443677.3125,112.9715,113.5433
8677,4538.5,37.7576,27.9434,12.1413,36.0786,1.139,0.9057,3.4444,0.8221,162.9142,40000.0,33.5238,13.5975,2651.7603,1550.8235,2.3412,0.215,2.7823,0.2291,0.2351,0.2303,9973.333,800.0,4245.1323,68.1983,0.1499,443626.5938,113.1585,138.3755
8678,4539.0,34.5442,26.1201,11.3533,32.9469,1.0645,0.7601,3.2208,0.2571,116.6225,40000.0,36.1562,13.59,2651.2561,1550.402,2.2879,0.1856,2.7143,0.2622,0.2999,0.3319,8913.333,646.6667,4336.7935,68.1983,0.1499,443626.5938,113.1585,138.3755
