,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
8868,4623.5,20.4456,1.3336,8.37,0.5029,2.2763,0.3784,20.9561,865.0317,0.2029,29.2258,1.6178,8.1714,2400.9417,1361.3146,2.3702,-0.3386,4.2841,-2.0721,-0.3235,-0.8765,0.1987,3855.5386,61.5334,111.1338,105.6905,0.0985,413009.5625,0.2056
8869,4624.0,24.4452,0.2836,8.1056,0.5591,2.7216,0.0805,20.2235,1603.1329,0.2349,35.0919,0.1,8.5894,2400.7532,1361.2087,2.2491,-0.0479,4.4061,-0.4581,0.0172,-0.5904,0.2695,3839.0386,63.2044,116.1236,147.4094,0.1104,412963.4063,0.2592
8870,4624.5,22.4876,3.2762,13.4347,0.7261,2.5036,0.9297,18.9022,604.1937,0.3212,36.6656,0.1,9.1141,2400.5474,1361.0854,1.8408,0.0345,3.9125,0.0807,0.2216,0.3474,0.5083,3849.1646,63.2044,116.1236,147.4094,0.1104,412963.4063,0.4599
8871,4625.0,23.8812,6.9636,16.5985,0.6887,2.6588,1.9761,19.1604,405.3753,0.3661,39.6788,0.1,10.136,2400.3137,1360.9342,1.5706,0.0514,3.4914,0.1958,0.0572,1.2791,0.6663,3865.592,64.9293,120.2273,146.9609,0.1226,412916.0,0.6116
8872,4625.5,14.8854,13.5108,27.9707,1.0335,1.6572,3.8339,19.7652,350.5297,0.3054,44.4075,0.1,9.6669,2400.0366,1360.7395,1.7223,0.0861,3.7021,0.4449,-0.1909,1.211,0.5776,3876.3035,64.9293,120.2273,146.9609,0.1226,412883.5313,0.5159
8873,4626.0,13.0074,15.0881,35.0472,1.4266,1.4482,4.2815,21.4314,396.4257,0.2673,48.2933,0.4154,9.6517,2399.7817,1360.5671,2.0585,0.1063,4.027,0.5763,-0.3767,0.6023,0.381,3857.8293,65.3595,123.5332,142.8833,0.1256,412834.8438,0.3442
8874,4626.5,14.2182,14.4782,40.2341,1.8409,1.583,4.1085,23.83,592.2934,0.2026,52.4551,1.4654,9.3993,2399.5315,1360.3993,2.3204,0.1062,4.2405,0.5609,-0.5087,0.3743,0.2278,3811.7178,65.3595,123.5332,142.8833,0.1256,412834.8438,0.2205
8875,4627.0,20.3576,12.2944,40.5838,2.022,2.2665,3.4888,26.1207,760.0731,0.1506,58.929,1.7396,9.3197,2399.2917,1360.2418,2.4677,0.0796,4.2159,0.3947,-0.3308,0.5253,0.1417,3819.8577,64.9717,127.1856,115.5669,0.1229,412785.8125,0.1509
8876,4627.5,20.2453,12.9695,45.9024,2.3539,2.254,3.6803,30.9269,974.974,0.1436,65.1717,2.0228,9.2997,2399.0559,1360.0884,2.5026,0.047,3.9564,0.1658,0.0515,-0.0375,0.1213,3820.6501,64.5704,105.7405,116.9934,0.12,412737.0938,0.1381
8877,4628.0,20.7897,11.8919,47.5842,2.5511,2.3146,3.3745,36.7172,1196.6926,0.15,67.0512,3.4501,9.2809,2398.8201,1359.9351,2.5101,0.0409,3.7717,0.0571,0.0874,-0.6733,0.1169,3845.936,64.5704,105.7405,116.9934,0.12,412737.0938,0.1399
